,121201,Acapulco,folder_id
0,10101,Aguascalientes,data20220622
1,292902,Apizaco,data20220622
2,40401,Campeche,data20220622
3,232301,Cancún,data20220622
4,80801,Chihuahua,data20220622
5,150901,Ciudad de México y área metropolitana,data20220622
6,80802,Ciudad Juárez,data20220622
7,171701,Cuernavaca,data20220622
8,252501,Culiacán,data20220622
9,101001,Durango,data20220622
10,141401,Guadalajara,data20220622
11,262601,Hermosillo,data20220622
12,30301,La Paz,data20220622
13,111101,León,data20220622
14,313101,Mérida,data20220622
15,191901,Monterrey,data20220622
16,161601,Morelia,data20220622
17,202001,Oaxaca,data20220622
18,303004,Orizaba,data20220622
19,131301,Pachuca,data20220622
20,232303,Playa del carmen,data20220622
21,212101,Puebla,data20220622
22,222201,Querétaro,data20220622
23,50501,Saltillo,data20220622
24,242401,San Luis Potosí,data20220622
25,282804,Tampico,data20220622
26,20201,Tijuana,data20220622
27,292901,Tlaxcala,data20220622
28,151501,Toluca,data20220622
29,70701,Tuxtla Gutiérrez,data20220622
30,303001,Veracruz,data20220622
31,272701,Villahermosa,data20220622
32,323201,Zacatecas,data20220622
