,# codigo,descripcion,tipo_arbol,folder_id
0,# ALIMENTOS,,Profeco_010101_arbol,data20220712
1,"# ACEITES, GRASAS Y VINAGRES",,Profeco_010101_arbol,data20220712
2,# ACEITES Y GRASAS,,Profeco_010101_arbol,data20220712
3,0166,ACEITE,Profeco_010101_arbol,data20220712
4,9000,ACEITE DE OLIVA,Profeco_010101_arbol,data20220712
5,9002,ALCAPARRA,Profeco_010101_arbol,data20220712
6,0170,GRASA COMESTIBLE,Profeco_010101_arbol,data20220712
7,0172,MANTECA DE CERDO,Profeco_010101_arbol,data20220712
8,0147,MANTEQUILLA,Profeco_010101_arbol,data20220712
9,0171,MARGARINA,Profeco_010101_arbol,data20220712
10,# VINAGRES,,Profeco_010101_arbol,data20220712
11,0983,VINAGRE,Profeco_010101_arbol,data20220712
12,# ALIMENTOS EN LATA Y PROCESADOS,,Profeco_010101_arbol,data20220712
13,# ALIMENTOS EN LATA Y PROCESADOS,,Profeco_010101_arbol,data20220712
14,9001,ACEITUNA,Profeco_010101_arbol,data20220712
15,0935,ALIMENTO PREPARADO PARA NIÑOS,Profeco_010101_arbol,data20220712
16,0136,ATUN,Profeco_010101_arbol,data20220712
17,0917,CHICHAROS EN LATA,Profeco_010101_arbol,data20220712
18,0915,CHILES,Profeco_010101_arbol,data20220712
19,0956,COCTEL DE FRUTAS EN ALMIBAR,Profeco_010101_arbol,data20220712
20,0970,CONCENTRADO DE POLLO,Profeco_010101_arbol,data20220712
21,0951,DURAZNOS EN ALMIBAR,Profeco_010101_arbol,data20220712
22,0864,ELOTE,Profeco_010101_arbol,data20220712
23,0931,FRIJOLES,Profeco_010101_arbol,data20220712
24,0971,MAYONESA,Profeco_010101_arbol,data20220712
25,0972,MOLE ROJO EN PASTA,Profeco_010101_arbol,data20220712
26,0973,MOSTAZA,Profeco_010101_arbol,data20220712
27,0013,PAPAS FRITAS Y SIMILARES,Profeco_010101_arbol,data20220712
28,0014,PASTA PARA SOPA,Profeco_010101_arbol,data20220712
29,0952,PIÑA EN ALMIBAR,Profeco_010101_arbol,data20220712
30,0916,PURE DE TOMATE,Profeco_010101_arbol,data20220712
31,0978,SALSA DE SOYA,Profeco_010101_arbol,data20220712
32,0976,SALSA INGLESA,Profeco_010101_arbol,data20220712
33,0977,SALSA PICANTE,Profeco_010101_arbol,data20220712
34,0137,SARDINA,Profeco_010101_arbol,data20220712
35,0303,SOPA INSTANTANEA,Profeco_010101_arbol,data20220712
