,# codigo,descripcion,tipo_arbol,folder_id
0,# ALIMENTOS,,Profeco_010101_arbol,data20220811
1,"# ACEITES, GRASAS Y VINAGRES",,Profeco_010101_arbol,data20220811
2,# ACEITES Y GRASAS,,Profeco_010101_arbol,data20220811
3,0166,ACEITE,Profeco_010101_arbol,data20220811
4,9000,ACEITE DE OLIVA,Profeco_010101_arbol,data20220811
5,9002,ALCAPARRA,Profeco_010101_arbol,data20220811
6,0170,GRASA COMESTIBLE,Profeco_010101_arbol,data20220811
7,0172,MANTECA DE CERDO,Profeco_010101_arbol,data20220811
8,0147,MANTEQUILLA,Profeco_010101_arbol,data20220811
9,0171,MARGARINA,Profeco_010101_arbol,data20220811
10,# VINAGRES,,Profeco_010101_arbol,data20220811
11,0983,VINAGRE,Profeco_010101_arbol,data20220811
12,# ALIMENTOS EN LATA Y PROCESADOS,,Profeco_010101_arbol,data20220811
13,# ALIMENTOS EN LATA Y PROCESADOS,,Profeco_010101_arbol,data20220811
14,9001,ACEITUNA,Profeco_010101_arbol,data20220811
15,0935,ALIMENTO PREPARADO PARA NIÑOS,Profeco_010101_arbol,data20220811
16,0136,ATUN,Profeco_010101_arbol,data20220811
17,0917,CHICHAROS EN LATA,Profeco_010101_arbol,data20220811
18,0915,CHILES,Profeco_010101_arbol,data20220811
19,0956,COCTEL DE FRUTAS EN ALMIBAR,Profeco_010101_arbol,data20220811
20,0970,CONCENTRADO DE POLLO,Profeco_010101_arbol,data20220811
21,0951,DURAZNOS EN ALMIBAR,Profeco_010101_arbol,data20220811
22,0864,ELOTE,Profeco_010101_arbol,data20220811
23,0931,FRIJOLES,Profeco_010101_arbol,data20220811
24,0971,MAYONESA,Profeco_010101_arbol,data20220811
25,0972,MOLE ROJO EN PASTA,Profeco_010101_arbol,data20220811
26,0973,MOSTAZA,Profeco_010101_arbol,data20220811
27,0014,PASTA PARA SOPA,Profeco_010101_arbol,data20220811
28,0952,PIÑA EN ALMIBAR,Profeco_010101_arbol,data20220811
29,0916,PURE DE TOMATE,Profeco_010101_arbol,data20220811
30,0978,SALSA DE SOYA,Profeco_010101_arbol,data20220811
31,0976,SALSA INGLESA,Profeco_010101_arbol,data20220811
32,0977,SALSA PICANTE,Profeco_010101_arbol,data20220811
33,0137,SARDINA,Profeco_010101_arbol,data20220811
34,0303,SOPA INSTANTANEA,Profeco_010101_arbol,data20220811
35,"# AZUCAR, ENDULZANTES Y CAFE",,Profeco_010101_arbol,data20220811
36,"# AZUCAR, ENDULZANTES Y CAFE",,Profeco_010101_arbol,data20220811
37,0960,AZUCAR,Profeco_010101_arbol,data20220811
38,0961,CAFE SOLUBLE,Profeco_010101_arbol,data20220811
39,0962,CAFE TOSTADO Y MOLIDO,Profeco_010101_arbol,data20220811
40,0991,CHOCOLATE EN TABLILLAS,Profeco_010101_arbol,data20220811
41,0998,JARABE PARA PREPARAR BEBIDAS,Profeco_010101_arbol,data20220811
42,0950,MERMELADA,Profeco_010101_arbol,data20220811
43,0996,MIEL DE ABEJA,Profeco_010101_arbol,data20220811
44,0990,POLVO PARA BEBIDAS SABOR CHOCOLATE,Profeco_010101_arbol,data20220811
45,# POSTRES PARA PREPARAR,,Profeco_010101_arbol,data20220811
46,0994,FLAN,Profeco_010101_arbol,data20220811
47,0995,GELATINA EN POLVO,Profeco_010101_arbol,data20220811
48,0984,POLVO P/HORNEAR,Profeco_010101_arbol,data20220811
49,# BEBIDAS,,Profeco_010101_arbol,data20220811
50,# BEBIDAS ALCOHOLICAS,,Profeco_010101_arbol,data20220811
51,1000,BRANDY,Profeco_010101_arbol,data20220811
52,1001,CERVEZA,Profeco_010101_arbol,data20220811
53,1005,TEQUILA,Profeco_010101_arbol,data20220811
54,# BEBIDAS NO ALCOHOLICAS,,Profeco_010101_arbol,data20220811
55,0964,AGUA CON GAS,Profeco_010101_arbol,data20220811
56,0965,AGUA SIN GAS,Profeco_010101_arbol,data20220811
57,0968,BEBIDAS HIDRATANTES,Profeco_010101_arbol,data20220811
58,0967,JUGO DE FRUTA,Profeco_010101_arbol,data20220811
59,0966,REFRESCO,Profeco_010101_arbol,data20220811
60,"# CARNE, POLLO Y PESCADO",,Profeco_010101_arbol,data20220811
61,# CARNE DE CERDO,,Profeco_010101_arbol,data20220811
62,0044,CABEZA DE CERDO,Profeco_010101_arbol,data20220811
63,0049,CARNE MOLIDA DE CERDO,Profeco_010101_arbol,data20220811
64,0041,CHULETA DE CERDO,Profeco_010101_arbol,data20220811
65,0045,ESPINAZO DE CERDO,Profeco_010101_arbol,data20220811
66,0043,LOMO DE CERDO,Profeco_010101_arbol,data20220811
67,0046,MANITAS DE CERDO,Profeco_010101_arbol,data20220811
68,0042,MILANESA DE CERDO,Profeco_010101_arbol,data20220811
69,0047,PIERNA DE CERDO ENTERA/PERNIL,Profeco_010101_arbol,data20220811
70,# CARNE DE POLLO Y PAVO,,Profeco_010101_arbol,data20220811
71,0032,PECHUGA DE POLLO,Profeco_010101_arbol,data20220811
72,0033,PIERNA DE POLLO,Profeco_010101_arbol,data20220811
73,0031,POLLO ENTERO,Profeco_010101_arbol,data20220811
74,# CARNE DE RES,,Profeco_010101_arbol,data20220811
