,idCat,nombreCat,nivel1,nivel2,nivel3,tipo_arbol,# codigo,descripcion,folder_id
0,166.0,ACEITE,ALIMENTOS,"ACEITES, GRASAS Y VINAGRES",ACEITES Y GRASAS,111_arbol,,,data20220913
1,9000.0,ACEITE DE OLIVA,ALIMENTOS,"ACEITES, GRASAS Y VINAGRES",ACEITES Y GRASAS,111_arbol,,,data20220913
2,170.0,GRASA COMESTIBLE,ALIMENTOS,"ACEITES, GRASAS Y VINAGRES",ACEITES Y GRASAS,111_arbol,,,data20220913
3,172.0,MANTECA DE CERDO,ALIMENTOS,"ACEITES, GRASAS Y VINAGRES",ACEITES Y GRASAS,111_arbol,,,data20220913
4,147.0,MANTEQUILLA,ALIMENTOS,"ACEITES, GRASAS Y VINAGRES",ACEITES Y GRASAS,111_arbol,,,data20220913
5,171.0,MARGARINA,ALIMENTOS,"ACEITES, GRASAS Y VINAGRES",ACEITES Y GRASAS,111_arbol,,,data20220913
6,983.0,VINAGRE,ALIMENTOS,"ACEITES, GRASAS Y VINAGRES",VINAGRES,111_arbol,,,data20220913
7,9001.0,ACEITUNA,ALIMENTOS,ALIMENTOS EN LATA Y PROCESADOS,ALIMENTOS EN LATA Y PROCESADOS,111_arbol,,,data20220913
8,935.0,ALIMENTO PREPARADO PARA NIÑOS,ALIMENTOS,ALIMENTOS EN LATA Y PROCESADOS,ALIMENTOS EN LATA Y PROCESADOS,111_arbol,,,data20220913
9,136.0,ATUN,ALIMENTOS,ALIMENTOS EN LATA Y PROCESADOS,ALIMENTOS EN LATA Y PROCESADOS,111_arbol,,,data20220913
10,917.0,CHICHAROS EN LATA,ALIMENTOS,ALIMENTOS EN LATA Y PROCESADOS,ALIMENTOS EN LATA Y PROCESADOS,111_arbol,,,data20220913
11,915.0,CHILES,ALIMENTOS,ALIMENTOS EN LATA Y PROCESADOS,ALIMENTOS EN LATA Y PROCESADOS,111_arbol,,,data20220913
12,956.0,COCTEL DE FRUTAS EN ALMIBAR,ALIMENTOS,ALIMENTOS EN LATA Y PROCESADOS,ALIMENTOS EN LATA Y PROCESADOS,111_arbol,,,data20220913
13,970.0,CONCENTRADO DE POLLO,ALIMENTOS,ALIMENTOS EN LATA Y PROCESADOS,ALIMENTOS EN LATA Y PROCESADOS,111_arbol,,,data20220913
14,951.0,DURAZNOS EN ALMIBAR,ALIMENTOS,ALIMENTOS EN LATA Y PROCESADOS,ALIMENTOS EN LATA Y PROCESADOS,111_arbol,,,data20220913
15,864.0,ELOTE,ALIMENTOS,ALIMENTOS EN LATA Y PROCESADOS,ALIMENTOS EN LATA Y PROCESADOS,111_arbol,,,data20220913
16,931.0,FRIJOLES,ALIMENTOS,ALIMENTOS EN LATA Y PROCESADOS,ALIMENTOS EN LATA Y PROCESADOS,111_arbol,,,data20220913
17,971.0,MAYONESA,ALIMENTOS,ALIMENTOS EN LATA Y PROCESADOS,ALIMENTOS EN LATA Y PROCESADOS,111_arbol,,,data20220913
18,972.0,MOLE ROJO EN PASTA,ALIMENTOS,ALIMENTOS EN LATA Y PROCESADOS,ALIMENTOS EN LATA Y PROCESADOS,111_arbol,,,data20220913
19,973.0,MOSTAZA,ALIMENTOS,ALIMENTOS EN LATA Y PROCESADOS,ALIMENTOS EN LATA Y PROCESADOS,111_arbol,,,data20220913
20,14.0,PASTA PARA SOPA,ALIMENTOS,ALIMENTOS EN LATA Y PROCESADOS,ALIMENTOS EN LATA Y PROCESADOS,111_arbol,,,data20220913
21,952.0,PIÑA EN ALMIBAR,ALIMENTOS,ALIMENTOS EN LATA Y PROCESADOS,ALIMENTOS EN LATA Y PROCESADOS,111_arbol,,,data20220913
22,916.0,PURE DE TOMATE,ALIMENTOS,ALIMENTOS EN LATA Y PROCESADOS,ALIMENTOS EN LATA Y PROCESADOS,111_arbol,,,data20220913
23,974.0,SAL MOLIDA DE MESA,ALIMENTOS,ALIMENTOS EN LATA Y PROCESADOS,ALIMENTOS EN LATA Y PROCESADOS,111_arbol,,,data20220913
24,978.0,SALSA DE SOYA,ALIMENTOS,ALIMENTOS EN LATA Y PROCESADOS,ALIMENTOS EN LATA Y PROCESADOS,111_arbol,,,data20220913
25,976.0,SALSA INGLESA,ALIMENTOS,ALIMENTOS EN LATA Y PROCESADOS,ALIMENTOS EN LATA Y PROCESADOS,111_arbol,,,data20220913
26,977.0,SALSA PICANTE,ALIMENTOS,ALIMENTOS EN LATA Y PROCESADOS,ALIMENTOS EN LATA Y PROCESADOS,111_arbol,,,data20220913
27,137.0,SARDINA,ALIMENTOS,ALIMENTOS EN LATA Y PROCESADOS,ALIMENTOS EN LATA Y PROCESADOS,111_arbol,,,data20220913
28,303.0,SOPA INSTANTANEA,ALIMENTOS,ALIMENTOS EN LATA Y PROCESADOS,ALIMENTOS EN LATA Y PROCESADOS,111_arbol,,,data20220913
29,961.0,CAFE SOLUBLE,ALIMENTOS,"AZUCAR, ENDULZANTES Y CAFE","AZUCAR, ENDULZANTES Y CAFE",111_arbol,,,data20220913
30,962.0,CAFE TOSTADO Y MOLIDO,ALIMENTOS,"AZUCAR, ENDULZANTES Y CAFE","AZUCAR, ENDULZANTES Y CAFE",111_arbol,,,data20220913
31,991.0,CHOCOLATE EN TABLILLAS,ALIMENTOS,"AZUCAR, ENDULZANTES Y CAFE","AZUCAR, ENDULZANTES Y CAFE",111_arbol,,,data20220913
32,998.0,JARABE PARA PREPARAR BEBIDAS,ALIMENTOS,"AZUCAR, ENDULZANTES Y CAFE","AZUCAR, ENDULZANTES Y CAFE",111_arbol,,,data20220913
33,950.0,MERMELADA,ALIMENTOS,"AZUCAR, ENDULZANTES Y CAFE","AZUCAR, ENDULZANTES Y CAFE",111_arbol,,,data20220913
34,996.0,MIEL DE ABEJA,ALIMENTOS,"AZUCAR, ENDULZANTES Y CAFE","AZUCAR, ENDULZANTES Y CAFE",111_arbol,,,data20220913
35,990.0,POLVO PARA BEBIDAS SABOR CHOCOLATE,ALIMENTOS,"AZUCAR, ENDULZANTES Y CAFE","AZUCAR, ENDULZANTES Y CAFE",111_arbol,,,data20220913
36,994.0,FLAN,ALIMENTOS,"AZUCAR, ENDULZANTES Y CAFE",POSTRES PARA PREPARAR,111_arbol,,,data20220913
37,995.0,GELATINA EN POLVO,ALIMENTOS,"AZUCAR, ENDULZANTES Y CAFE",POSTRES PARA PREPARAR,111_arbol,,,data20220913
38,1000.0,BRANDY,ALIMENTOS,BEBIDAS,BEBIDAS ALCOHOLICAS,111_arbol,,,data20220913
39,1001.0,CERVEZA,ALIMENTOS,BEBIDAS,BEBIDAS ALCOHOLICAS,111_arbol,,,data20220913
40,1005.0,TEQUILA,ALIMENTOS,BEBIDAS,BEBIDAS ALCOHOLICAS,111_arbol,,,data20220913
41,964.0,AGUA CON GAS,ALIMENTOS,BEBIDAS,BEBIDAS NO ALCOHOLICAS,111_arbol,,,data20220913
42,965.0,AGUA SIN GAS,ALIMENTOS,BEBIDAS,BEBIDAS NO ALCOHOLICAS,111_arbol,,,data20220913
43,968.0,BEBIDAS HIDRATANTES,ALIMENTOS,BEBIDAS,BEBIDAS NO ALCOHOLICAS,111_arbol,,,data20220913
44,967.0,JUGO DE FRUTA,ALIMENTOS,BEBIDAS,BEBIDAS NO ALCOHOLICAS,111_arbol,,,data20220913
45,966.0,REFRESCO,ALIMENTOS,BEBIDAS,BEBIDAS NO ALCOHOLICAS,111_arbol,,,data20220913
46,44.0,CABEZA DE CERDO,ALIMENTOS,"CARNE, POLLO Y PESCADO",CARNE DE CERDO,111_arbol,,,data20220913
47,49.0,CARNE MOLIDA DE CERDO,ALIMENTOS,"CARNE, POLLO Y PESCADO",CARNE DE CERDO,111_arbol,,,data20220913
48,41.0,CHULETA DE CERDO,ALIMENTOS,"CARNE, POLLO Y PESCADO",CARNE DE CERDO,111_arbol,,,data20220913
49,45.0,ESPINAZO DE CERDO,ALIMENTOS,"CARNE, POLLO Y PESCADO",CARNE DE CERDO,111_arbol,,,data20220913
50,43.0,LOMO DE CERDO,ALIMENTOS,"CARNE, POLLO Y PESCADO",CARNE DE CERDO,111_arbol,,,data20220913
51,46.0,MANITAS DE CERDO,ALIMENTOS,"CARNE, POLLO Y PESCADO",CARNE DE CERDO,111_arbol,,,data20220913
52,42.0,MILANESA DE CERDO,ALIMENTOS,"CARNE, POLLO Y PESCADO",CARNE DE CERDO,111_arbol,,,data20220913
53,47.0,PIERNA DE CERDO ENTERA/PERNIL,ALIMENTOS,"CARNE, POLLO Y PESCADO",CARNE DE CERDO,111_arbol,,,data20220913
54,32.0,PECHUGA DE POLLO,ALIMENTOS,"CARNE, POLLO Y PESCADO",CARNE DE POLLO Y PAVO,111_arbol,,,data20220913
55,33.0,PIERNA DE POLLO,ALIMENTOS,"CARNE, POLLO Y PESCADO",CARNE DE POLLO Y PAVO,111_arbol,,,data20220913
56,31.0,POLLO ENTERO,ALIMENTOS,"CARNE, POLLO Y PESCADO",CARNE DE POLLO Y PAVO,111_arbol,,,data20220913
57,69.0,BISTEC DE DIEZMILLO DE RES,ALIMENTOS,"CARNE, POLLO Y PESCADO",CARNE DE RES,111_arbol,,,data20220913
